etiquette_fruit,nom_fruit,poids,largeur,hauteur,score_couleur
2,mandarine,79.76,4.04,4.68,0.76
1,pomme,144.64,7.87,5.75,0.47
1,pomme,104.17,7.48,8.95,0.56
1,pomme,107.53,8.03,6.95,0.62
1,pomme,110.17,8.73,8.17,0.62
1,pomme,109.56,7.47,5.55,0.43
2,mandarine,86.23,6.72,4.94,0.59
2,mandarine,71.63,5.8,3.39,0.79
1,pomme,129.25,6.17,7.08,0.39
2,mandarine,75.89,8.36,7.18,0.81
2,mandarine,94.23,6.45,6.06,0.95
1,pomme,124.87,8.36,7.56,0.52
2,mandarine,114.14,7.39,8.04,0.65
2,mandarine,59.87,8.21,5.36,0.72
1,pomme,152.9,7.57,7.57,0.65
2,mandarine,138.72,8.77,6.0,0.71
2,mandarine,84.8,7.33,5.27,0.99
2,mandarine,94.76,4.64,5.41,0.77
1,pomme,143.19,7.38,7.15,0.56
1,pomme,100.85,7.36,7.12,0.53
1,pomme,138.59,7.53,7.52,0.67
1,pomme,102.21,8.1,6.45,0.62
2,mandarine,54.29,7.97,6.38,0.76
2,mandarine,73.21,6.29,6.35,0.98
1,pomme,137.54,7.77,7.87,0.55
1,pomme,99.56,7.91,6.23,0.55
1,pomme,98.6,9.63,6.59,0.51
2,mandarine,95.96,7.51,5.14,0.94
1,pomme,99.24,7.57,7.12,0.48
2,mandarine,72.15,7.91,7.62,0.7
2,mandarine,53.1,5.96,5.63,0.89
2,mandarine,71.69,4.97,3.91,0.85
1,pomme,136.65,9.24,7.01,0.42
2,mandarine,90.77,5.31,4.8,0.75
2,mandarine,41.19,5.46,5.28,0.78
2,mandarine,88.88,6.03,6.32,0.63
2,mandarine,106.24,7.73,6.95,0.66
1,pomme,142.29,8.03,5.33,0.58
2,mandarine,62.77,5.64,4.34,0.81
2,mandarine,92.01,6.66,4.44,0.74
2,mandarine,109.21,7.67,4.7,0.56
1,pomme,125.72,8.94,5.31,0.78
2,mandarine,82.06,6.29,6.1,0.83
1,pomme,120.27,6.96,6.65,0.65
2,mandarine,61.74,5.81,6.07,0.68
2,mandarine,113.63,5.98,6.15,0.84
1,pomme,116.28,8.0,6.24,0.68
2,mandarine,71.52,5.62,6.12,0.77
1,pomme,101.65,9.3,5.71,0.49
2,mandarine,102.55,5.85,5.73,0.85
1,pomme,114.28,7.5,6.79,0.65
1,pomme,117.89,8.86,7.66,0.67
2,mandarine,94.96,5.67,7.52,0.75
2,mandarine,67.12,8.37,6.15,0.84
2,mandarine,119.21,7.28,5.82,0.75
1,pomme,92.8,8.47,5.69,0.68
2,mandarine,130.01,6.14,6.87,0.7
1,pomme,133.54,7.08,7.02,0.63
1,pomme,140.16,7.66,6.26,0.72
1,pomme,130.62,6.56,8.43,0.48
1,pomme,133.7,8.0,5.96,0.77
1,pomme,128.65,8.32,7.02,0.38
1,pomme,161.77,7.52,6.78,0.64
1,pomme,112.41,9.57,6.07,0.66
2,mandarine,85.33,7.27,5.3,0.91
2,mandarine,77.73,6.34,6.04,0.89
2,mandarine,96.98,6.74,5.85,0.76
2,mandarine,108.86,7.37,6.41,0.83
1,pomme,106.74,9.09,5.39,0.56
2,mandarine,67.21,6.72,6.1,0.77
1,pomme,149.68,7.43,7.17,0.5
1,pomme,115.46,6.55,7.52,0.46
2,mandarine,82.77,7.32,5.17,0.65
2,mandarine,106.95,5.61,6.44,0.72
1,pomme,132.36,7.41,6.66,0.44
2,mandarine,77.65,5.32,7.64,0.81
1,pomme,132.2,8.98,6.81,0.57
2,mandarine,81.16,6.41,4.28,0.67
1,pomme,152.82,8.2,6.96,0.54
1,pomme,135.36,7.9,8.52,0.53
2,mandarine,85.45,5.36,8.24,0.76
2,mandarine,67.41,6.33,5.15,0.83
2,mandarine,94.29,5.48,5.71,0.87
1,pomme,121.15,9.33,6.49,0.56
1,pomme,142.66,8.79,6.89,0.66
2,mandarine,95.6,6.42,4.45,0.88
2,mandarine,89.45,6.63,6.19,0.75
1,pomme,119.57,8.78,4.99,0.76
1,pomme,148.22,8.73,8.86,0.66
1,pomme,137.05,8.7,6.86,0.55
1,pomme,107.87,7.5,6.31,0.45
1,pomme,142.23,9.39,6.4,0.64
2,mandarine,99.57,7.47,5.16,0.79
1,pomme,103.72,7.9,6.21,0.57
2,mandarine,113.21,6.18,7.12,0.8
1,pomme,84.26,10.25,6.02,0.46
1,pomme,90.12,8.86,6.57,0.36
1,pomme,120.97,8.56,6.15,0.53
2,mandarine,59.68,7.24,4.69,0.8
2,mandarine,49.51,5.75,5.01,0.73
